n,time_seconds
n,time_seconds
1,0.007007
2,0.006222
3,0.004551
4,0.004685
5,0.006854
6,0.006142
7,0.009715
8,0.004868
9,0.006880
10,0.009704
11,0.010047
12,0.022905
