n,time_seconds
n,time_seconds
1,0.003339
2,0.002020
3,0.001844
4,0.002299
5,0.002773
6,0.004200
7,0.003949
8,0.003979
9,0.004150
10,0.005500
11,0.004938
12,0.005932
