n,time_seconds
n,time_seconds
1,0.003835
2,0.001581
3,0.001411
4,0.001348
5,0.001543
6,0.001323
7,0.001502
8,0.003084
9,0.003785
10,0.004465
11,0.003220
12,0.003354
13,0.004165
14,0.009654
15,0.009572
16,0.005304
