n,time_seconds
n,time_seconds
1,0.006382
2,0.003132
3,0.002567
4,0.002076
5,0.002007
6,0.002802
7,0.001958
8,0.002211
9,0.004794
10,0.004132
11,0.005326
12,0.004202
13,0.006147
14,0.007766
15,0.005572
16,0.005847
