n,time_seconds
n,time_seconds
1,0.006508
2,0.001665
3,0.001339
4,0.001122
5,0.001043
6,0.001403
7,0.001238
8,0.001395
9,0.001299
10,0.001156
11,0.001298
12,0.001504
